Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,SKU,MF,MAXIMUM_PACKAGE_HEIGHT,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Purchase-URL,Description_1,MANUFACTURER,Availability,SNAPEDA_PN
"C1, C2, C3, C4, C5",5,100nF,C0805,,,,smt,X7R,,,,,,,,,,,,,,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",12,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,,,,smt,RGB LED with integrated controller,,,,,,,,,,,,,,
J1,1,Serial,GROVE-HW4-2.0-90D,,,,tht,,320110034,,,,,,,,,,,,,
J2,1,I2C,GROVE-HW4-2.0-90D,,,,tht,,320110034,,,,,,,,,,,,,
J3,1,AD12,GROVE-HW4-2.0-90D,,,,tht,,320110034,,,,,,,,,,,,,
J4,1,AD34,GROVE-HW4-2.0-90D,,,,tht,,320110034,,,,,,,,,,,,,
J5,1,SPI-BUS,PinHeader_1x07_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x07, script generated",,,,,,,,,,,,,,
J6,1,NEOPixel,PinHeader_1x03_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated",,,,,,,,,,,,,,
"R1, R2",2,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,"Resistor, small symbol",,,,,,,,,,,,,,
U1,1,XIAO,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM-holes,,,,tht,,,,,,,,,,,,,,,
U2,1,VEML7700-TR,XDCR_VEML7700-TR,Package,,,smt,,,Vishay,3 mm,None,https://www.snapeda.com/parts/VEML7700-TR/Vishay+Semiconductor+Opto+Division/view-part/?ref=eda,Manufacturer Recommendations,1.6,https://www.snapeda.com/parts/VEML7700-TR/Vishay+Semiconductor+Opto+Division/view-part/?ref=snap,VEML7700-TR,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=620383&manufacturer=Vishay&part_name=VEML7700-TR&search_term=veml7700-tr,"
Optical Sensor Ambient 545nm I2C 4-SMD, J-Lead
",Vishay,In Stock,VEML7700-TR
