pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
154.2,-85.25,-90.0,top,C1,,,C0805,100nF,smt
147.85,-102.85,0.0,top,C2,,,C0805,100nF,smt
137.6,-102.85,0.0,top,C3,,,C0805,100nF,smt
126.46,-102.25,0.0,top,C4,,,C0805,100nF,smt
115.8,-102.85,0.0,top,C5,,,C0805,100nF,smt
107.25,-81.495,0.0,top,D1,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
152.2,-81.5,0.0,top,D10,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
152.2,-89.0,0.0,top,D11,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
152.2,-96.5,0.0,top,D12,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
107.25,-89.0,0.0,top,D2,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
107.25,-96.525,0.0,top,D3,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
122.25,-81.5,0.0,top,D4,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
122.25,-88.925,0.0,top,D5,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
122.25,-96.5,0.0,top,D6,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
137.25,-81.475,0.0,top,D7,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
137.25,-89.0,0.0,top,D8,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
137.25,-96.5,0.0,top,D9,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
122.95,-71.0,90.0,bottom,J5,,,PinHeader_1x07_P2.54mm_Vertical,SPI-BUS,tht
150.75,-72.175,180.0,bottom,J6,,,PinHeader_1x03_P2.54mm_Vertical,NEOPixel,tht
142.21,-96.5,-90.0,bottom,JP1,,,PinHeader_1x03_P2.54mm_Vertical,Jumper_3_Open,tht
112.25,-80.75,-90.0,bottom,JP10,,,PinHeader_1x03_P2.54mm_Vertical,AD0,tht
112.25,-84.5,-90.0,bottom,JP11,,,PinHeader_1x03_P2.54mm_Vertical,AD1,tht
112.25,-88.25,-90.0,bottom,JP12,,,PinHeader_1x03_P2.54mm_Vertical,AD2,tht
112.21,-92.0,-90.0,bottom,JP13,,,PinHeader_1x03_P2.54mm_Vertical,AD3,tht
129.3,-95.75,-90.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4k7,smt
132.25,-95.75,-90.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4k7,smt
148.01441,-91.86782,180.0,bottom,U1,,,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM-holes,XIAO,tht
129.8,-104.65,-90.0,top,U2,,Package,XDCR_VEML7700-TR,VEML7700-TR,smt
