Designator,Mid X,Mid Y,Rotation,Layer
C1,109.96,-73.87,0.0,top
C2,164.42,-97.32,0.0,top
C3,163.83,-112.268,0.0,top
C4,113.19,-103.02,0.0,top
C5,147.86,-107.63,0.0,top
D1,109.75,-78.82,90.0,top
D10,169.755,-78.725,90.0,top
D11,169.755,-86.225,90.0,top
D12,169.755,-93.725,90.0,top
D2,109.75,-86.325,90.0,top
D3,109.75,-93.85,90.0,top
D4,129.75,-78.825,90.0,top
D5,129.75,-86.25,90.0,top
D6,129.75,-93.825,90.0,top
D7,149.75,-78.8,90.0,top
D8,149.75,-86.325,90.0,top
D9,149.75,-93.825,90.0,top
R1,144.65,-98.21,180.0,top
R2,144.7,-100.76,180.0,top
R3,114.58,-78.82,270.0,top
U2,139.75,-72.455,0.0,top
